atm_name,transaction_date,No_Of_Withdrawals,no_of_cub_card_withdrawals,no_of_other_card_withdrawals,total_amount_withdrawn,amount_withdrawn_cub_card,amount_withdrawn_other_card,weekday,working_day
Airport ATM,14/05/2012,102,78,24,449100,378900,70200,sunday,H
KK Nagar ATM,14/05/2012,202,180,22,961100,833400,127700,sunday,H
Christ College ATM,14/05/2012,66,38,28,394600,316800,77800,sunday,H
Big Street ATM,15/05/2012,42,19,23,179200,114500,64700,sunday,H
Mount Road ATM,15/05/2012,165,38,127,373900,103700,270200,sunday,H
Airport ATM,15/05/2012,125,89,36,570600,450900,119700,sunday,H
KK Nagar ATM,15/05/2012,240,166,74,942800,662700,280100,sunday,H
Christ College ATM,15/05/2012,130,63,67,567300,348200,219100,sunday,H
Big Street ATM,16/05/2012,55,20,35,174700,106100,68600,sunday,H
Mount Road ATM,16/05/2012,198,105,93,730800,526100,204700,sunday,H
Airport ATM,16/05/2012,144,80,64,660400,489600,170800,sunday,H
KK Nagar ATM,16/05/2012,200,149,51,905700,739300,166400,sunday,H
Christ College ATM,16/05/2012,59,31,28,215600,144500,71100,sunday,H
Big Street ATM,17/05/2012,44,19,25,207600,150800,56800,sunday,H
Mount Road ATM,17/05/2012,221,76,145,616000,256900,359100,sunday,H
Airport ATM,17/05/2012,59,39,20,289100,216800,72300,sunday,H
KK Nagar ATM,17/05/2012,213,162,51,927100,744800,182300,sunday,H
Christ College ATM,17/05/2012,78,50,28,259200,182100,77100,sunday,H
Big Street ATM,18/05/2012,53,19,34,180200,84300,95900,sunday,H
Mount Road ATM,18/05/2012,201,71,130,583300,233800,349500,sunday,H
Airport ATM,18/05/2012,98,57,41,556800,381000,175800,sunday,H
KK Nagar ATM,18/05/2012,191,148,43,795300,632500,162800,sunday,H
Christ College ATM,18/05/2012,63,44,19,358200,273200,85000,sunday,H
Big Street ATM,19/05/2012,32,17,15,125200,78700,46500,sunday,H
Mount Road ATM,19/05/2012,148,77,71,501800,289400,212400,sunday,H
Airport ATM,19/05/2012,74,59,15,404800,351200,53600,sunday,H
KK Nagar ATM,19/05/2012,218,140,78,827000,460000,367000,sunday,H
Christ College ATM,19/05/2012,86,48,38,384000,204600,179400,sunday,H
Big Street ATM,20/05/2012,28,23,5,124900,111900,13000,sunday,H
Mount Road ATM,20/05/2012,49,39,10,102700,84600,18100,sunday,H
Airport ATM,20/05/2012,43,30,13,123800,100200,23600,sunday,H
KK Nagar ATM,20/05/2012,80,76,4,307800,302700,5100,sunday,H
Christ College ATM,20/05/2012,27,25,2,73600,70600,3000,sunday,H
Big Street ATM,21/05/2012,18,13,5,84400,72400,12000,monday,H
Mount Road ATM,21/05/2012,87,53,34,294400,219700,74700,monday,H
Airport ATM,21/05/2012,103,89,14,527800,487900,39900,monday,H
KK Nagar ATM,21/05/2012,187,181,6,773900,761900,12000,monday,H
Christ College ATM,21/05/2012,59,53,6,257700,248500,9200,monday,H
Big Street ATM,22/05/2012,53,20,33,156300,68200,88100,monday,H
Mount Road ATM,22/05/2012,199,75,124,570000,257300,312700,monday,H
Airport ATM,22/05/2012,123,86,37,601100,476100,125000,monday,H
KK Nagar ATM,22/05/2012,252,208,44,991800,837900,153900,monday,H
Christ College ATM,22/05/2012,47,39,8,214600,195300,19300,monday,H
Big Street ATM,23/05/2012,65,24,41,245700,106800,138900,monday,H
Mount Road ATM,23/05/2012,239,99,140,741100,387200,353900,monday,H
Airport ATM,23/05/2012,126,70,56,504400,378500,125900,monday,H
KK Nagar ATM,23/05/2012,188,101,87,936000,513300,422700,monday,H
Christ College ATM,23/05/2012,54,22,32,206800,99000,107800,monday,H
Big Street ATM,24/05/2012,38,17,21,140900,76700,64200,monday,H
Mount Road ATM,24/05/2012,154,81,73,621500,375300,246200,monday,H
Airport ATM,24/05/2012,101,59,42,359300,252300,107000,monday,H
KK Nagar ATM,24/05/2012,189,150,39,743500,610100,133400,monday,H
Christ College ATM,24/05/2012,68,40,28,306400,206600,99800,monday,H
Big Street ATM,25/05/2012,58,15,43,171300,58500,112800,monday,H
Mount Road ATM,25/05/2012,259,69,190,742000,206000,536000,monday,H
Airport ATM,25/05/2012,102,77,25,487500,413900,73600,monday,H
KK Nagar ATM,25/05/2012,277,192,85,1153700,812000,341700,monday,H
Christ College ATM,25/05/2012,81,52,29,392200,279500,112700,monday,H
Big Street ATM,26/05/2012,64,16,48,182000,70200,111800,saturday,H
Mount Road ATM,26/05/2012,273,77,196,1010100,473500,536600,saturday,H
Airport ATM,26/05/2012,135,86,49,608100,444500,163600,saturday,H
KK Nagar ATM,26/05/2012,268,169,99,954100,582900,371200,saturday,H
Christ College ATM,26/05/2012,82,55,27,408100,318700,89400,saturday,H
Big Street ATM,27/05/2012,57,17,40,112200,50500,61700,sunday,H
Mount Road ATM,27/05/2012,157,41,116,451100,218300,232800,sunday,H
Airport ATM,27/05/2012,118,57,61,364200,182700,181500,sunday,H
KK Nagar ATM,27/05/2012,127,78,49,469700,264600,205100,sunday,H
Christ College ATM,27/05/2012,68,31,37,249300,93800,155500,sunday,H
Big Street ATM,28/05/2012,41,19,22,165600,98900,66700,sunday,H
Mount Road ATM,28/05/2012,150,82,68,528300,388300,140000,sunday,H
Airport ATM,28/05/2012,143,94,49,718600,511900,206700,sunday,H
KK Nagar ATM,28/05/2012,240,173,67,1026600,752700,273900,sunday,H
Christ College ATM,28/05/2012,71,37,34,276100,150700,125400,sunday,H
Big Street ATM,29/05/2012,59,13,46,205500,46100,159400,sunday,H
Mount Road ATM,29/05/2012,159,69,90,547800,333600,214200,sunday,H
Airport ATM,29/05/2012,95,56,39,423300,235000,188300,sunday,H
KK Nagar ATM,29/05/2012,276,208,68,1205600,1014500,191100,sunday,H
Christ College ATM,29/05/2012,98,53,45,391500,243100,148400,sunday,H
Big Street ATM,30/05/2012,56,22,34,158600,83000,75600,sunday,H
Mount Road ATM,30/05/2012,160,79,81,553300,281300,272000,sunday,H
Airport ATM,30/05/2012,106,83,23,404600,359400,45200,sunday,H
KK Nagar ATM,30/05/2012,306,229,77,1280800,1019300,261500,sunday,H
Christ College ATM,30/05/2012,111,40,71,466500,210300,256200,sunday,H
Big Street ATM,31/05/2012,52,18,34,185100,57100,128000,sunday,H
Mount Road ATM,31/05/2012,180,106,74,642200,477000,165200,sunday,H
Airport ATM,31/05/2012,116,75,41,580000,452800,127200,sunday,H
KK Nagar ATM,31/05/2012,353,249,104,1673300,1254400,418900,sunday,H
Christ College ATM,31/05/2012,79,47,32,339500,238000,101500,sunday,H
Big Street ATM,01/06/2012,41,16,25,135600,71700,63900,sunday,H
Mount Road ATM,01/06/2012,186,87,99,800000,411700,388300,sunday,H
Airport ATM,01/06/2012,126,91,35,626100,492400,133700,sunday,H
KK Nagar ATM,01/06/2012,261,165,96,1281800,937300,344500,sunday,H
Christ College ATM,01/06/2012,47,37,10,306000,283000,23000,sunday,H
Big Street ATM,02/06/2012,20,17,3,108000,91500,16500,saturday,H
Mount Road ATM,02/06/2012,129,103,26,684300,597300,87000,saturday,H
Airport ATM,02/06/2012,132,122,10,904600,876400,28200,saturday,H
KK Nagar ATM,02/06/2012,300,278,22,1320400,1269700,50700,saturday,H
Christ College ATM,02/06/2012,70,63,7,440200,428000,12200,saturday,H
Big Street ATM,03/06/2012,22,22,0,71300,71300,0,sunday,H
Mount Road ATM,03/06/2012,55,48,7,202500,187800,14700,sunday,H
Airport ATM,03/06/2012,97,91,6,518300,499400,18900,sunday,H
KK Nagar ATM,03/06/2012,149,144,5,506900,498800,8100,sunday,H
Christ College ATM,03/06/2012,24,21,3,107700,106900,800,sunday,H
Big Street ATM,04/06/2012,15,15,0,44400,44400,0,sunday,H
Mount Road ATM,04/06/2012,41,31,10,153400,135700,17700,sunday,H
Airport ATM,04/06/2012,86,84,2,523600,521400,2200,sunday,H
KK Nagar ATM,04/06/2012,221,215,6,904900,895900,9000,sunday,H
Christ College ATM,04/06/2012,29,27,2,81900,80700,1200,sunday,H
Big Street ATM,05/06/2012,40,38,2,170100,160000,10100,sunday,H
Mount Road ATM,05/06/2012,106,90,16,559100,478100,81000,sunday,H
Airport ATM,05/06/2012,81,77,4,561500,539500,22000,sunday,H
KK Nagar ATM,05/06/2012,200,182,18,866800,801200,65600,sunday,H
Christ College ATM,05/06/2012,63,51,12,384100,307300,76800,sunday,H
Big Street ATM,06/06/2012,51,21,30,170400,71300,99100,sunday,H
Mount Road ATM,06/06/2012,179,110,69,678700,452400,226300,sunday,H
Airport ATM,06/06/2012,102,76,26,599600,533800,65800,sunday,H
KK Nagar ATM,06/06/2012,256,210,46,1153200,1029200,124000,sunday,H
Christ College ATM,06/06/2012,79,45,34,388300,234700,153600,sunday,H
Big Street ATM,07/06/2012,63,19,44,284800,95600,189200,sunday,H
Mount Road ATM,07/06/2012,191,81,110,708300,428200,280100,sunday,H
Airport ATM,07/06/2012,130,70,60,464600,262100,202500,sunday,H
KK Nagar ATM,07/06/2012,279,194,85,1402500,1091800,310700,sunday,H
Christ College ATM,07/06/2012,175,42,133,901400,236200,665200,sunday,H
Big Street ATM,08/06/2012,99,21,78,292000,62900,229100,sunday,H
Mount Road ATM,08/06/2012,388,100,288,1197200,472800,724400,sunday,H
Airport ATM,08/06/2012,154,79,75,763100,495900,267200,sunday,H
KK Nagar ATM,08/06/2012,372,191,181,1584600,887900,696700,sunday,H
Christ College ATM,08/06/2012,51,10,41,154900,12500,142400,sunday,H
Big Street ATM,09/06/2012,56,13,43,211600,53800,157800,saturday,H
Mount Road ATM,09/06/2012,305,78,227,975100,473100,502000,saturday,H
Airport ATM,09/06/2012,183,98,85,823100,549000,274100,saturday,H
KK Nagar ATM,09/06/2012,361,192,169,1645200,859200,786000,saturday,H
Christ College ATM,09/06/2012,60,23,37,228600,117900,110700,saturday,H
Big Street ATM,10/06/2012,89,19,70,256000,40600,215400,sunday,H
Mount Road ATM,10/06/2012,326,31,295,896700,100300,796400,sunday,H
Airport ATM,10/06/2012,153,66,87,512500,278600,233900,sunday,H
KK Nagar ATM,10/06/2012,204,75,129,760900,271100,489800,sunday,H
Christ College ATM,10/06/2012,37,9,28,175400,115200,60200,sunday,H
Big Street ATM,11/06/2012,76,21,55,221200,79400,141800,sunday,H
Mount Road ATM,11/06/2012,198,75,123,684800,316600,368200,sunday,H
Airport ATM,11/06/2012,143,83,60,522200,346900,175300,sunday,H
KK Nagar ATM,11/06/2012,246,178,68,1052000,789100,262900,sunday,H
Christ College ATM,11/06/2012,42,27,15,95900,44900,51000,sunday,H
Big Street ATM,12/06/2012,130,19,111,456400,67300,389100,sunday,H
Mount Road ATM,12/06/2012,253,97,156,682000,364800,317200,sunday,H
Airport ATM,12/06/2012,156,88,68,691600,498800,192800,sunday,H
KK Nagar ATM,12/06/2012,300,161,139,1223100,736500,486600,sunday,H
Christ College ATM,12/06/2012,110,35,75,468000,130200,337800,sunday,H
Big Street ATM,13/06/2012,66,5,61,205100,14600,190500,sunday,H
Mount Road ATM,13/06/2012,236,73,163,813800,352400,461400,sunday,H
Airport ATM,13/06/2012,133,74,59,610000,451900,158100,sunday,H
KK Nagar ATM,13/06/2012,264,184,80,1101100,790900,310200,sunday,H
Christ College ATM,13/06/2012,32,18,14,141900,84200,57700,sunday,H
Big Street ATM,14/06/2012,56,3,53,150700,3600,147100,sunday,H
Mount Road ATM,14/06/2012,356,76,280,1127300,340400,786900,sunday,H
Airport ATM,14/06/2012,174,86,88,832900,531400,301500,sunday,H
KK Nagar ATM,14/06/2012,332,159,173,1447300,721600,725700,sunday,H
Christ College ATM,14/06/2012,148,40,108,637000,188600,448400,sunday,H
Big Street ATM,15/06/2012,90,27,63,327300,61600,265700,sunday,H
Mount Road ATM,15/06/2012,122,47,75,417700,184700,233000,sunday,H
Airport ATM,15/06/2012,116,83,33,644900,516300,128600,sunday,H
KK Nagar ATM,15/06/2012,197,138,59,663300,446600,216700,sunday,H
Christ College ATM,15/06/2012,94,47,47,426500,285200,141300,sunday,H
Big Street ATM,16/06/2012,70,20,50,268600,87800,180800,saturday,H
Mount Road ATM,16/06/2012,179,88,91,513500,311900,201600,saturday,H
Airport ATM,16/06/2012,138,90,48,755900,568800,187100,saturday,H
KK Nagar ATM,16/06/2012,179,142,37,826000,722100,103900,saturday,H
Christ College ATM,16/06/2012,69,39,30,268800,173900,94900,saturday,H
Big Street ATM,17/06/2012,47,22,25,174700,145100,29600,sunday,H
Airport ATM,17/06/2012,109,76,33,429300,361900,67400,sunday,H
KK Nagar ATM,17/06/2012,97,62,35,285800,142800,143000,sunday,H
Christ College ATM,17/06/2012,78,29,49,288200,116900,171300,sunday,H
Big Street ATM,18/06/2012,81,37,44,229200,154000,75200,sunday,H
Mount Road ATM,18/06/2012,244,64,180,826200,339400,486800,sunday,H
Airport ATM,18/06/2012,124,100,24,507100,459500,47600,sunday,H
KK Nagar ATM,18/06/2012,239,190,49,913700,803400,110300,sunday,H
Christ College ATM,18/06/2012,101,57,44,531400,340300,191100,sunday,H
Big Street ATM,19/06/2012,75,26,49,273900,151500,122400,sunday,H
Mount Road ATM,19/06/2012,261,91,170,631300,270500,360800,sunday,H
Airport ATM,19/06/2012,111,88,23,403500,355400,48100,sunday,H
KK Nagar ATM,19/06/2012,243,187,56,1111000,860600,250400,sunday,H
Christ College ATM,19/06/2012,94,44,50,425300,203600,221700,sunday,H
Big Street ATM,20/06/2012,62,39,23,271800,244200,27600,sunday,H
Mount Road ATM,20/06/2012,197,78,119,621800,316800,305000,sunday,H
Airport ATM,20/06/2012,104,74,30,512500,387200,125300,sunday,H
KK Nagar ATM,20/06/2012,211,176,35,813400,692300,121100,sunday,H
Christ College ATM,20/06/2012,68,41,27,223700,161800,61900,sunday,H
Big Street ATM,21/06/2012,72,25,47,308800,183800,125000,sunday,H
Mount Road ATM,21/06/2012,264,78,186,975000,371300,603700,sunday,H
Airport ATM,21/06/2012,63,37,26,258200,170800,87400,sunday,H
KK Nagar ATM,21/06/2012,230,134,96,855800,542100,313700,sunday,H
Christ College ATM,21/06/2012,114,10,104,435700,35900,399800,sunday,H
Big Street ATM,22/06/2012,53,20,33,157800,69400,88400,sunday,H
Mount Road ATM,22/06/2012,132,67,65,289600,155900,133700,sunday,H
Airport ATM,22/06/2012,110,87,23,534100,441600,92500,sunday,H
KK Nagar ATM,22/06/2012,210,165,45,965700,744700,221000,sunday,H
Christ College ATM,22/06/2012,54,25,29,196400,84700,111700,sunday,H
Big Street ATM,23/06/2012,38,15,23,88900,38000,50900,saturday,H
Mount Road ATM,23/06/2012,205,95,110,560900,345300,215600,saturday,H
Airport ATM,23/06/2012,116,86,30,498400,464600,33800,saturday,H
KK Nagar ATM,23/06/2012,221,151,70,856100,574300,281800,saturday,H
Christ College ATM,23/06/2012,118,56,62,520400,339500,180900,saturday,H
Big Street ATM,24/06/2012,32,10,22,39100,10700,28400,sunday,H
Mount Road ATM,24/06/2012,58,13,45,122100,40900,81200,sunday,H
Airport ATM,24/06/2012,111,64,47,315300,238800,76500,sunday,H
KK Nagar ATM,24/06/2012,107,91,16,401300,359900,41400,sunday,H
Christ College ATM,24/06/2012,53,22,31,247400,102700,144700,sunday,H
Big Street ATM,25/06/2012,55,14,41,261900,84900,177000,sunday,H
Mount Road ATM,25/06/2012,158,76,82,479700,256900,222800,sunday,H
Airport ATM,25/06/2012,103,76,27,491100,396000,95100,sunday,H
KK Nagar ATM,25/06/2012,204,167,37,858000,748300,109700,sunday,H
Christ College ATM,25/06/2012,72,48,24,263700,168500,95200,sunday,H
Big Street ATM,26/06/2012,54,15,39,215200,79400,135800,sunday,H
Mount Road ATM,26/06/2012,144,58,86,362800,176600,186200,sunday,H
Airport ATM,26/06/2012,110,95,15,607300,580400,26900,sunday,H
KK Nagar ATM,26/06/2012,200,167,33,881800,735500,146300,sunday,H
Christ College ATM,26/06/2012,70,48,22,239700,180200,59500,sunday,H
Big Street ATM,27/06/2012,49,20,29,92800,66800,26000,sunday,H
Mount Road ATM,27/06/2012,148,66,82,395500,213900,181600,sunday,H
Airport ATM,27/06/2012,107,87,20,430100,404100,26000,sunday,H
KK Nagar ATM,27/06/2012,190,153,37,769600,676100,93500,sunday,H
Christ College ATM,27/06/2012,81,38,43,326500,158800,167700,sunday,H
Big Street ATM,28/06/2012,38,15,23,104700,36100,68600,sunday,H
Mount Road ATM,28/06/2012,87,51,36,194300,118400,75900,sunday,H
Airport ATM,28/06/2012,94,68,26,467100,368700,98400,sunday,H
KK Nagar ATM,28/06/2012,219,162,57,867900,627500,240400,sunday,H
Christ College ATM,28/06/2012,85,58,27,364500,273400,91100,sunday,H
Big Street ATM,29/06/2012,60,32,28,208500,147300,61200,sunday,H
Mount Road ATM,29/06/2012,160,81,79,441000,295000,146000,sunday,H
Airport ATM,29/06/2012,81,68,13,506200,469100,37100,sunday,H
KK Nagar ATM,29/06/2012,186,138,48,878700,688900,189800,sunday,H
Christ College ATM,29/06/2012,58,23,35,199100,83600,115500,sunday,H
Big Street ATM,30/06/2012,37,13,24,124600,94600,30000,saturday,H
Mount Road ATM,30/06/2012,224,89,135,720000,353700,366300,saturday,H
Airport ATM,30/06/2012,106,82,24,420800,365900,54900,saturday,H
KK Nagar ATM,30/06/2012,348,257,91,1879500,1444800,434700,saturday,H
Christ College ATM,30/06/2012,91,62,29,448000,315800,132200,saturday,H
Big Street ATM,01/07/2012,110,28,82,410800,158200,252600,sunday,H
Mount Road ATM,01/07/2012,318,39,279,930000,151800,778200,sunday,H
Airport ATM,01/07/2012,120,62,58,558200,362400,195800,sunday,H
KK Nagar ATM,01/07/2012,207,99,108,775000,328200,446800,sunday,H
Christ College ATM,01/07/2012,111,40,71,446800,167700,279100,sunday,H
Big Street ATM,02/07/2012,52,17,35,257900,111200,146700,sunday,H
Mount Road ATM,02/07/2012,164,56,108,583500,296800,286700,sunday,H
Airport ATM,02/07/2012,154,116,38,802500,642200,160300,sunday,H
KK Nagar ATM,02/07/2012,400,259,141,2118600,1374800,743800,sunday,H
Christ College ATM,02/07/2012,104,50,54,554000,301200,252800,sunday,H
Big Street ATM,03/07/2012,81,29,52,290000,99500,190500,sunday,H
Mount Road ATM,03/07/2012,207,93,114,770600,400800,369800,sunday,H
Airport ATM,03/07/2012,96,71,25,493900,415800,78100,sunday,H
KK Nagar ATM,03/07/2012,260,197,63,1304500,1030800,273700,sunday,H
Christ College ATM,03/07/2012,117,62,55,649700,400900,248800,sunday,H
Big Street ATM,04/07/2012,48,10,38,138600,53800,84800,sunday,H
Mount Road ATM,04/07/2012,305,97,208,1159700,403000,756700,sunday,H
Airport ATM,04/07/2012,119,98,21,621100,533500,87600,sunday,H
KK Nagar ATM,04/07/2012,308,254,54,1338800,1114400,224400,sunday,H
Christ College ATM,04/07/2012,88,39,49,491000,204600,286400,sunday,H
Big Street ATM,05/07/2012,62,30,32,271700,188200,83500,sunday,H
Mount Road ATM,05/07/2012,239,74,165,947600,367300,580300,sunday,H
Airport ATM,05/07/2012,124,94,30,692500,580300,112200,sunday,H
KK Nagar ATM,05/07/2012,269,201,68,1364800,1056500,308300,sunday,H
Christ College ATM,05/07/2012,129,54,75,504000,194700,309300,sunday,H
Big Street ATM,06/07/2012,38,12,26,157300,54800,102500,sunday,H
Mount Road ATM,06/07/2012,175,64,111,721800,306900,414900,sunday,H
Airport ATM,06/07/2012,101,79,22,491800,407500,84300,sunday,H
KK Nagar ATM,06/07/2012,290,216,74,1360100,1058000,302100,sunday,H
Christ College ATM,06/07/2012,118,44,74,505300,166100,339200,sunday,H
Big Street ATM,07/07/2012,64,31,33,227300,122200,105100,saturday,H
Mount Road ATM,07/07/2012,259,92,167,898100,443700,454400,saturday,H
Airport ATM,07/07/2012,76,58,18,404200,335800,68400,saturday,H
KK Nagar ATM,07/07/2012,309,229,80,1321400,946200,375200,saturday,H
Christ College ATM,07/07/2012,90,54,36,432100,326500,105600,saturday,H
Big Street ATM,08/07/2012,71,25,46,175500,66500,109000,sunday,H
Mount Road ATM,08/07/2012,210,38,172,478700,160200,318500,sunday,H
Airport ATM,08/07/2012,143,107,36,573700,445400,128300,sunday,H
KK Nagar ATM,08/07/2012,114,76,38,351400,266700,84700,sunday,H
Christ College ATM,08/07/2012,68,27,41,423500,134700,288800,sunday,H
Big Street ATM,09/07/2012,63,23,40,283700,132100,151600,sunday,H
Mount Road ATM,09/07/2012,197,100,97,621400,393900,227500,sunday,H
Airport ATM,09/07/2012,130,94,36,535600,391900,143700,sunday,H
KK Nagar ATM,09/07/2012,268,211,57,1295700,1079600,216100,sunday,H
Christ College ATM,09/07/2012,144,53,91,544200,242900,301300,sunday,H
Big Street ATM,10/07/2012,100,34,66,382000,208800,173200,sunday,H
Mount Road ATM,10/07/2012,171,80,91,585100,370000,215100,sunday,H
Airport ATM,10/07/2012,103,79,24,449600,342700,106900,sunday,H
KK Nagar ATM,10/07/2012,220,170,50,865700,673000,192700,sunday,H
Christ College ATM,10/07/2012,74,44,30,298300,183100,115200,sunday,H
Big Street ATM,11/07/2012,51,14,37,182900,64400,118500,sunday,H
Mount Road ATM,11/07/2012,142,94,48,557100,451700,105400,sunday,H
Airport ATM,11/07/2012,144,108,36,701800,613500,88300,sunday,H
KK Nagar ATM,11/07/2012,189,155,34,658200,552800,105400,sunday,H
Christ College ATM,11/07/2012,83,48,35,373500,248200,125300,sunday,H
Big Street ATM,12/07/2012,48,18,30,168700,79800,88900,sunday,H
Mount Road ATM,12/07/2012,171,90,81,606900,399500,207400,sunday,H
Airport ATM,12/07/2012,93,71,22,339000,285200,53800,sunday,H
KK Nagar ATM,12/07/2012,267,207,60,1037500,829000,208500,sunday,H
Christ College ATM,12/07/2012,97,55,42,389300,240500,148800,sunday,H
Big Street ATM,13/07/2012,60,15,45,200500,63100,137400,sunday,H
Mount Road ATM,13/07/2012,138,67,71,416600,216800,199800,sunday,H
Airport ATM,13/07/2012,87,71,16,384700,321500,63200,sunday,H
KK Nagar ATM,13/07/2012,247,197,50,1168200,949600,218600,sunday,H
Christ College ATM,13/07/2012,79,53,26,373200,291400,81800,sunday,H
Big Street ATM,14/07/2012,51,26,25,195700,154200,41500,saturday,H
Mount Road ATM,14/07/2012,211,95,116,699500,476500,223000,saturday,H
Airport ATM,14/07/2012,128,105,23,622300,558600,63700,saturday,H
KK Nagar ATM,14/07/2012,299,225,74,1190100,948400,241700,saturday,H
Christ College ATM,14/07/2012,116,62,54,601600,421600,180000,saturday,H
Big Street ATM,15/07/2012,52,23,29,203500,109400,94100,sunday,H
Mount Road ATM,15/07/2012,195,42,153,541700,168500,373200,sunday,H
Airport ATM,15/07/2012,86,69,17,389600,359500,30100,sunday,H
KK Nagar ATM,15/07/2012,210,147,63,584900,418400,166500,sunday,H
Christ College ATM,15/07/2012,56,24,32,129500,69100,60400,sunday,H
Big Street ATM,16/07/2012,50,18,32,239000,141300,97700,sunday,H
Mount Road ATM,16/07/2012,167,97,70,700400,493700,206700,sunday,H
Airport ATM,16/07/2012,117,89,28,568400,465800,102600,sunday,H
KK Nagar ATM,16/07/2012,241,181,60,1039800,859600,180200,sunday,H
Christ College ATM,16/07/2012,37,21,16,194600,138100,56500,sunday,H
Big Street ATM,17/07/2012,56,30,26,248900,185900,63000,sunday,H
Mount Road ATM,17/07/2012,130,81,49,441100,343700,97400,sunday,H
Airport ATM,17/07/2012,113,78,35,555800,456700,99100,sunday,H
KK Nagar ATM,17/07/2012,232,183,49,1149700,972200,177500,sunday,H
Christ College ATM,17/07/2012,82,37,45,313500,171800,141700,sunday,H
Big Street ATM,18/07/2012,42,21,21,123500,62800,60700,sunday,H
Mount Road ATM,18/07/2012,172,72,100,609700,314400,295300,sunday,H
Airport ATM,18/07/2012,130,78,52,587400,447800,139600,sunday,H
KK Nagar ATM,18/07/2012,259,198,61,1223900,975700,248200,sunday,H
Christ College ATM,18/07/2012,85,40,45,401300,208300,193000,sunday,H
Big Street ATM,19/07/2012,37,23,14,126800,87400,39400,sunday,H
Mount Road ATM,19/07/2012,132,61,71,374700,172100,202600,sunday,H
Airport ATM,19/07/2012,130,95,35,611500,494400,117100,sunday,H
KK Nagar ATM,19/07/2012,219,167,52,851200,662100,189100,sunday,H
Christ College ATM,19/07/2012,54,35,19,234300,176700,57600,sunday,H
Big Street ATM,20/07/2012,38,17,21,86100,49900,36200,sunday,H
Mount Road ATM,20/07/2012,176,98,78,549900,352800,197100,sunday,H
Airport ATM,20/07/2012,103,76,27,456800,410100,46700,sunday,H
KK Nagar ATM,20/07/2012,229,194,35,878800,779800,99000,sunday,H
Christ College ATM,20/07/2012,91,57,34,461700,329100,132600,sunday,H
Big Street ATM,21/07/2012,41,20,21,131700,78600,53100,saturday,H
Mount Road ATM,21/07/2012,193,91,102,706600,450900,255700,saturday,H
Airport ATM,21/07/2012,139,115,24,823500,769200,54300,saturday,H
KK Nagar ATM,21/07/2012,241,197,44,867800,717900,149900,saturday,H
Christ College ATM,21/07/2012,103,49,54,502200,300000,202200,saturday,H
Big Street ATM,22/07/2012,43,16,27,93700,32500,61200,sunday,H
Mount Road ATM,22/07/2012,154,41,113,350900,158200,192700,sunday,H
Airport ATM,22/07/2012,100,70,30,502300,395400,106900,sunday,H
KK Nagar ATM,22/07/2012,72,54,18,193600,154500,39100,sunday,H
Christ College ATM,22/07/2012,72,29,43,230700,148400,82300,sunday,H
Big Street ATM,23/07/2012,45,22,23,100200,65100,35100,sunday,H
Mount Road ATM,23/07/2012,164,101,63,424000,338800,85200,sunday,H
Airport ATM,23/07/2012,86,61,25,359900,297000,62900,sunday,H
KK Nagar ATM,23/07/2012,261,211,50,1075700,917400,158300,sunday,H
Christ College ATM,23/07/2012,92,68,24,565800,496400,69400,sunday,H
Big Street ATM,24/07/2012,43,23,20,196000,140500,55500,sunday,H
Mount Road ATM,24/07/2012,111,45,66,206900,73300,133600,sunday,H
Airport ATM,24/07/2012,92,67,25,499200,422600,76600,sunday,H
KK Nagar ATM,24/07/2012,205,163,42,885600,756700,128900,sunday,H
Christ College ATM,24/07/2012,82,52,30,449600,348700,100900,sunday,H
Big Street ATM,25/07/2012,82,34,48,377600,198600,179000,sunday,H
Mount Road ATM,25/07/2012,188,96,92,597600,341500,256100,sunday,H
Airport ATM,25/07/2012,82,65,17,339900,299900,40000,sunday,H
KK Nagar ATM,25/07/2012,217,183,34,995500,889100,106400,sunday,H
Christ College ATM,25/07/2012,69,43,26,271400,220600,50800,sunday,H
Big Street ATM,26/07/2012,46,25,21,150600,98200,52400,sunday,H
Mount Road ATM,26/07/2012,152,66,86,495800,262100,233700,sunday,H
Airport ATM,26/07/2012,131,97,34,639900,528800,111100,sunday,H
KK Nagar ATM,26/07/2012,233,199,34,942000,838500,103500,sunday,H
Christ College ATM,26/07/2012,72,38,34,363400,196900,166500,sunday,H
Big Street ATM,27/07/2012,27,10,17,53400,28300,25100,sunday,H
Mount Road ATM,27/07/2012,111,61,50,304600,203300,101300,sunday,H
Airport ATM,27/07/2012,110,92,18,552100,497500,54600,sunday,H
KK Nagar ATM,27/07/2012,205,157,48,658900,502400,156500,sunday,H
Christ College ATM,27/07/2012,74,31,43,275500,125600,149900,sunday,H
Big Street ATM,28/07/2012,39,15,24,95000,24500,70500,saturday,H
Mount Road ATM,28/07/2012,169,63,106,504900,243700,261200,saturday,H
Airport ATM,28/07/2012,94,73,21,438900,362500,76400,saturday,H
KK Nagar ATM,28/07/2012,284,214,70,903000,683000,220000,saturday,H
Christ College ATM,28/07/2012,98,57,41,511500,330700,180800,saturday,H
Big Street ATM,29/07/2012,34,14,20,86900,23700,63200,sunday,H
Mount Road ATM,29/07/2012,155,35,120,347900,71900,276000,sunday,H
Airport ATM,29/07/2012,95,65,30,376100,325000,51100,sunday,H
KK Nagar ATM,29/07/2012,125,91,34,392400,240600,151800,sunday,H
